name,team,position,season,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface,fantasy_points_ppr
Jake Bobo,SEA,WR,2023,14,19,25,196.0,14.0,2,10.32,0.0,0,0.06,0.04,1,3.0,0.21,1,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.15,0.0,0.0,0,272.0,898.0,0.0,0.0,CenturyLink Field,moderate,FieldTurf,56.9
Jake Browning,CIN,QB,2023,9,1,1,-7.0,-0.78,0,-7.0,0.0,0,0.0,-0.01,27,127.0,14.11,3,0.11,0.0,0,171,243,0.7,1936.0,215.11,12,1,0.06,7.0,24.0,3,469.0,568.0,0.0,0.0,Paul Brown Stadium,cold,FieldTurf,144.44
Jake Ferguson,DAL,TE,2023,17,71,102,761.0,44.76,5,10.72,0.0,0,0.17,0.11,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.07,0.0,0.0,0,880.0,1195.0,4.0,129.0,AT&T Stadium,indoor,FieldTurf,177.1
Jakobi Meyers,LV,WR,2023,16,71,106,807.0,50.44,8,11.37,0.0,0,0.21,0.27,4,24.0,1.5,2,0.5,0.0,0,2,3,0.67,12.0,0.75,1,0,0.14,0.0,0.0,0,903.0,1011.0,0.0,0.0,Allegiant Stadium,indoor,Grass,218.58
Jaleel McLaughlin,DEN,RB,2023,17,31,36,160.0,9.41,2,5.16,0.0,0,0.08,-0.05,76,410.0,24.12,1,0.01,0.0,0,0,0,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0,193.0,1070.0,0.0,0.0,Empower Field at Mile High,cold,Grass,106.0
Jalen Brooks,DAL,WR,2023,3,6,6,64.0,21.33,0,10.67,0.0,0,0.05,0.02,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,39.0,208.0,7.0,244.0,AT&T Stadium,indoor,FieldTurf,12.4
Jalen Guyton,LAC,WR,2023,7,10,21,89.0,12.71,1,8.9,0.0,0,0.08,0.13,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.1,0.0,0.0,0,252.0,466.0,0.0,0.0,Dignity Health Sports Park,warm,Grass,24.9
Jalen Hurts,PHI,QB,2023,17,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,157,605.0,35.59,15,0.1,4.0,0,352,538,0.65,3858.0,226.94,23,0,0.05,15.0,36.0,5,1103.0,1150.0,2.0,53.0,Lincoln Financial Field,cold,Grass,356.82
Jalen Nailor,MIN,WR,2023,2,3,6,29.0,14.5,0,9.67,0.0,0,0.09,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,84.0,144.0,6.0,191.0,U.S. Bank Stadium,indoor,FieldTurf,5.9
Jalen Reagor,NE,WR,2023,9,7,23,138.0,15.33,0,19.71,0.0,0,0.08,0.15,1,17.0,1.89,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,293.0,526.0,1.0,21.0,Gillette Stadium,cold,FieldTurf,28.5
Jalen Tolbert,DAL,WR,2023,13,22,36,268.0,20.62,2,12.18,0.0,0,0.07,0.13,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.09,0.0,0.0,0,398.0,939.0,3.0,88.0,AT&T Stadium,indoor,FieldTurf,60.8
Jalin Hyatt,NYG,WR,2023,13,23,40,373.0,28.69,0,16.22,1.0,0,0.11,0.27,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,448.0,848.0,3.0,73.0,MetLife Stadium,cold,FieldTurf,60.3
Jamaal Williams,NO,RB,2023,13,18,20,62.0,4.77,0,3.44,0.0,0,0.05,-0.01,106,306.0,23.54,1,0.01,1.0,0,0,0,0.0,0.0,0.0,0,0,0.01,0.0,0.0,0,324.0,887.0,4.0,134.0,Mercedes-Benz Superdome,indoor,FieldTurf,60.8
Jamal Agnew,JAX,WR,2023,8,14,21,225.0,28.12,1,16.07,1.0,0,0.07,0.12,4,-2.0,-0.25,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,158.0,558.0,0.0,0.0,TIAA Bank Field,warm,Grass,40.3
Jameis Winston,NO,QB,2023,6,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,-6.0,-1.0,0,0.0,0.0,0,25,47,0.53,264.0,44.0,2,0,0.04,3.0,2.0,0,75.0,369.0,1.0,1.0,Mercedes-Benz Superdome,indoor,FieldTurf,11.96
James Conner,ARI,RB,2023,13,27,33,165.0,12.69,2,6.11,0.0,0,0.08,-0.01,208,1040.0,80.0,7,0.03,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,533.0,869.0,3.0,105.0,State Farm Stadium,indoor,Grass,201.5
James Cook,BUF,RB,2023,17,44,54,445.0,26.18,4,10.11,1.0,0,0.1,0.03,237,1122.0,66.0,2,0.01,3.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,634.0,1173.0,2.0,63.0,New Era Field,cold,FieldTurf,232.7
James Mitchell,DET,TE,2023,2,2,2,28.0,14.0,0,14.0,0.0,0,0.03,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,65.0,125.0,5.0,177.0,Ford Field,indoor,FieldTurf,4.8
James Proche,CLE,WR,2023,2,0,5,0.0,0.0,0,0.0,0.0,0,0.09,0.17,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,53.0,129.0,6.0,201.0,FirstEnergy Stadium,cold,Grass,0.0
Jameson Williams,DET,WR,2023,12,24,42,354.0,29.5,2,14.75,1.0,0,0.1,0.22,3,29.0,2.42,1,0.33,0.0,0,0,0,0.0,0.0,0.0,0,0,0.11,0.0,0.0,0,444.0,843.0,1.0,12.0,Ford Field,indoor,FieldTurf,80.3
Jamison Crowder,WAS,WR,2023,7,16,20,159.0,22.71,1,9.94,0.0,0,0.07,0.05,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,107.0,477.0,4.0,105.0,FedEx Field,moderate,Grass,37.9
Jared Goff,DET,QB,2023,17,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32,21.0,1.24,2,0.06,2.0,0,407,605,0.67,4575.0,269.12,30,2,0.05,12.0,30.0,4,1175.0,1178.0,1.0,1.0,Ford Field,indoor,FieldTurf,289.1
Jaren Hall,MIN,QB,2023,3,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,14.0,4.67,0,0.0,0.0,0,13,20,0.65,168.0,56.0,0,0,0.0,1.0,4.0,2,46.0,202.0,5.0,164.0,U.S. Bank Stadium,indoor,FieldTurf,2.12
Jarrett Stidham,DEN,QB,2023,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9,8.0,4.0,0,0.0,1.0,0,40,66,0.61,496.0,248.0,2,0,0.03,1.0,7.0,0,130.0,130.0,4.0,133.0,Empower Field at Mile High,cold,Grass,26.64
Jashaun Corbin,NYG,RB,2023,1,3,3,12.0,12.0,0,4.0,0.0,0,0.12,-0.01,1,1.0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,15.0,58.0,0.0,0.0,MetLife Stadium,cold,FieldTurf,4.3
Jason Brownlee,NYJ,WR,2023,4,5,8,56.0,14.0,1,11.2,0.0,0,0.06,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.2,0.0,0.0,0,256.0,290.0,0.0,0.0,MetLife Stadium,cold,FieldTurf,16.6
Jauan Jennings,SF,WR,2023,12,19,33,265.0,22.08,1,13.95,0.0,0,0.1,0.13,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0,311.0,762.0,7.0,217.0,Levi's Stadium,moderate,Grass,51.5
Javonte Williams,DEN,RB,2023,16,47,58,228.0,14.25,2,4.85,1.0,1,0.13,-0.04,217,774.0,48.38,3,0.01,0.0,1,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,493.0,1016.0,2.0,35.0,Empower Field at Mile High,cold,Grass,179.2
Jaxon Smith-Njigba,SEA,WR,2023,17,63,93,628.0,36.94,4,9.97,0.0,0,0.18,0.14,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,675.0,1055.0,1.0,20.0,CenturyLink Field,moderate,FieldTurf,149.8
Jayden Reed,GB,WR,2023,16,64,94,793.0,49.56,8,12.39,0.0,1,0.18,0.2,11,119.0,7.44,2,0.18,0.0,0,0,0,0.0,0.0,0.0,0,0,0.13,0.0,0.0,0,578.0,1037.0,2.0,50.0,Lambeau Field,cold,Grass,217.2
Jaylen Waddle,MIA,WR,2023,14,72,104,1014.0,72.43,4,14.08,0.0,0,0.24,0.34,3,12.0,0.86,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0,611.0,911.0,0.0,0.0,Hard Rock Stadium,warm,Grass,198.6
Jaylen Warren,PIT,RB,2023,17,61,74,370.0,21.76,0,6.07,1.0,0,0.16,-0.03,149,784.0,46.12,4,0.03,3.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,518.0,1075.0,0.0,0.0,Heinz Field,cold,Grass,196.4
